"filename", "language", "JSON", "HTML", "Markdown", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\trading-cards-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\utility-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\images\virtual-worlds-light.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\index.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 4, 65
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Categories\style.css", "CSS", 0, 0, 0, 0, 38, 0, 0, 1, 39
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Socialmedia\index.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 3, 38
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\Socialmedia\style.css", "CSS", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\index.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\FullpageMenu\style.css", "CSS", 0, 0, 0, 0, 46, 0, 0, 1, 47
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\index.js", "JavaScript", 0, 0, 0, 127, 0, 0, 0, 5, 132
"c:\Users\zshhraa\Desktop\openriver\src\components\Navbar\style.css", "CSS", 0, 0, 0, 0, 202, 0, 0, 9, 211
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\ServiceCard\index.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 4, 31
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\ServiceCard\style.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 4, 66
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\index.js", "JavaScript", 0, 0, 0, 52, 0, 0, 0, 3, 55
"c:\Users\zshhraa\Desktop\openriver\src\components\Postbody\style.css", "CSS", 0, 0, 0, 0, 47, 0, 4, 1, 52
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\NFTCard\index.js", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 4, 35
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\NFTCard\style.css", "CSS", 0, 0, 0, 0, 68, 0, 0, 3, 71
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\index.js", "JavaScript", 0, 0, 0, 54, 0, 0, 0, 3, 57
"c:\Users\zshhraa\Desktop\openriver\src\components\Prebody\style.css", "CSS", 0, 0, 0, 0, 31, 0, 1, 1, 33
"c:\Users\zshhraa\Desktop\openriver\src\index.css", "CSS", 0, 0, 0, 0, 26, 0, 1, 1, 28
"c:\Users\zshhraa\Desktop\openriver\src\index.js", "JavaScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"Total", "-", 12197, 20, 38, 1070, 1174, 16, 43, 171, 14729
